temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,rainfall_1h_mm,cloud_cover_pct,radar_reflectivity_dbz,satellite_rain_index,storm_cell_density,cloud_top_temp_c,risk_label
27.5,65,1016,10,0.3,40,18,21,0.15,18,Low Risk
28.2,68,1015,12,0.8,45,20,24,0.18,16,Low Risk
29.1,71,1014,13,1.5,48,22,27,0.21,15,Low Risk
28.8,73,1013,14,2.3,52,25,29,0.24,14,Low Risk
27.9,76,1012,15,3.1,56,28,32,0.29,13,Low Risk
26.8,79,1010,16,4.5,61,31,36,0.35,12,Moderate Risk
25.9,82,1009,17,6.1,68,35,41,0.42,10,Moderate Risk
25.4,85,1008,18,8.8,74,40,48,0.52,8,Moderate Risk
24.7,87,1006,20,12.3,80,47,56,0.66,6,Moderate Risk
23.9,90,1004,22,15.6,85,54,64,0.79,4,High Risk
23.5,92,1003,24,18.9,88,61,72,0.92,2,High Risk
22.8,94,1001,26,22.4,92,68,80,1.04,1,High Risk
24.1,89,1005,21,16.8,84,56,67,0.86,3,High Risk
26.2,81,1008,18,9.5,76,42,49,0.56,7,Moderate Risk
27.6,74,1011,14,5.2,63,34,38,0.39,11,Moderate Risk
28.4,70,1013,13,1.9,49,23,28,0.21,15,Low Risk
29.3,66,1015,11,0.7,42,19,22,0.17,17,Low Risk
30.1,59,1017,9,0.2,35,16,18,0.12,19,Low Risk
29.6,64,1016,10,0.9,44,21,25,0.19,16,Low Risk
28.9,69,1014,12,1.7,47,24,30,0.22,15,Low Risk
26.5,80,1009,17,7.6,73,38,45,0.47,9,Moderate Risk
25.2,86,1007,19,11.2,78,46,54,0.63,7,Moderate Risk
24.8,88,1005,22,13.9,82,52,60,0.75,5,Moderate Risk
23.7,91,1003,25,17.8,87,60,70,0.9,3,High Risk
22.9,93,1001,27,21.5,90,66,79,1.02,1,High Risk
24.5,87,1006,20,14.1,80,49,58,0.7,5,Moderate Risk
26.1,83,1008,18,8.2,75,41,47,0.53,8,Moderate Risk
28.7,72,1012,15,4.3,59,30,34,0.32,12,Moderate Risk
30.4,60,1018,8,0.4,36,17,19,0.13,18,Low Risk
31.2,56,1019,7,0.1,31,15,17,0.1,20,Low Risk
30.6,58,1017,9,0.3,33,16,18,0.11,19,Low Risk
27.1,78,1010,16,5.8,66,33,39,0.38,10,Moderate Risk
25.8,84,1008,19,10.4,77,44,52,0.59,7,Moderate Risk
24.3,88,1005,23,14.9,83,53,61,0.77,5,High Risk
23.1,95,1002,28,23.8,94,71,83,1.12,0,High Risk
22.5,96,1000,29,26.4,96,76,88,1.2,-1,High Risk
24.6,86,1006,21,13.2,79,48,57,0.69,6,Moderate Risk
26.9,79,1009,18,8.6,72,39,46,0.49,9,Moderate Risk
27.9,75,1011,15,6.4,65,36,42,0.41,11,Moderate Risk
29.1,70,1013,13,2.5,50,26,31,0.25,14,Low Risk
30.9,57,1018,8,0.2,34,15,18,0.12,18,Low Risk
28.3,74,1012,14,4.1,60,29,35,0.33,11,Moderate Risk
25.4,85,1007,20,12.1,81,50,59,0.73,6,Moderate Risk
24.1,89,1004,24,17.2,86,58,68,0.88,4,High Risk
23.8,90,1003,25,19.7,89,63,74,0.94,3,High Risk
22.7,92,1001,27,22.8,91,69,81,1.07,1,High Risk
